Bus Number,Latitude,Longitude,Stop Name,Stop Status
1,40.678462,-73.997777,COURT ST/3 PL,at stop
2,40.698291,-73.961262,FLUSHING AV/CLASSON AV,approaching
3,40.676593,-73.998677,COURT ST/NELSON ST,approaching
4,40.700388,-73.944765,FLUSHING AV/THROOP AV,approaching
5,40.69781,-73.96426,FLUSHING AV/STEUBEN ST,approaching
6,40.69807,-73.976374,FLUSHING AV/N PORTLAND AV,approaching
7,40.677131,-73.996617,SMITH ST/5 ST,approaching
8,40.687082,-73.993624,COURT ST/WARREN ST,approaching
9,40.686204,-73.99082,SMITH ST/BERGEN ST,approaching
10,40.697696,-73.967265,FLUSHING AV/RYERSON ST,approaching
11,40.701283,-73.939494,FLUSHING AV/HUMBOLDT ST,approaching
12,40.70026,-73.945907,FLUSHING AV/THROOP AV,approaching
13,40.722239,-73.902118,FLUSHING AV/61 ST,< 1 stop away
14,40.716825,-73.911007,FLUSHING AV/60 ST,< 1 stop away
